$LHRS_FingerSelect_Title	ASSIGN RING
$LHRS_FingerSelect_FingerHeader	FINGER
$LHRS_FingerSelect_EquippedHeader	EQUIPPED RING
$LHRS_FingerSelect_Action_Equip	Equip
$LHRS_FingerSelect_Action_Unequip	Unequip
$LHRS_FingerSelect_Action_Replace	Replace
$LHRS_FingerSelect_Action_WontFit	Won't fit
$LHRS_FingerSelect_Action_Cancel	Cancel
$LHRS_Inventory_FingerHint	Finger
$LHRS_Inventory_LeftHandShort	L
$LHRS_Inventory_RightHandShort	R
$LHRS_Finger_Thumb	Thumb
$LHRS_Finger_Index	Index
$LHRS_Finger_Middle	Middle
$LHRS_Finger_Ring	Ring
$LHRS_Finger_Pinky	Pinky
$LHRS_Message_RingWontFitFinger	This ring won't fit starting from {FINGER}.
$LHRS_Message_RingUnequipBlocked	This ring cannot be unequipped.
